Consecutivo,Date,Adj Close
1,18/06/2018,182.147354
2,25/06/2018,182.334488
3,02/07/2018,185.151627
4,09/07/2018,188.461243
5,16/07/2018,188.569595
6,23/07/2018,188.116501
7,30/07/2018,204.871445
8,06/08/2018,204.41835
9,13/08/2018,215.06929
10,20/08/2018,213.66568
11,27/08/2018,225.003342
12,03/09/2018,218.746384
13,10/09/2018,221.25705
14,17/09/2018,215.148376
15,24/09/2018,223.135147
16,01/10/2018,221.701859
17,08/10/2018,219.547028
18,15/10/2018,216.779327
19,22/10/2018,213.804077
20,29/10/2018,205.085831
21,05/11/2018,202.110565
22,12/11/2018,191.964279
23,19/11/2018,170.896118
24,26/11/2018,177.135223
25,03/12/2018,167.126862
26,10/12/2018,164.14122
27,17/12/2018,149.510544
28,24/12/2018,154.966034
29,31/12/2018,147.060516
30,07/01/2019,151.057922
31,14/01/2019,155.551285
32,21/01/2019,156.483673
33,28/01/2019,165.172806
34,04/02/2019,169.031326
35,11/02/2019,169.766235
36,18/02/2019,172.306458
37,25/02/2019,174.298782
38,04/03/2019,172.246689
39,11/03/2019,185.406006
40,18/03/2019,190.317093
41,25/03/2019,189.221313
42,01/04/2019,196.244263
43,08/04/2019,198.107086
44,15/04/2019,203.077957
45,22/04/2019,203.516266
46,29/04/2019,210.937683
47,06/05/2019,196.423569
48,13/05/2019,189
49,20/05/2019,178.970001
50,27/05/2019,175.070007
51,03/06/2019,190.149994
52,10/06/2019,192.740005
53,17/06/2019,193.889999
